"country","countryiso3","latest.year_deathrate.2066","latest.value_deathrate.2066"
"Afghanistan","AFG",2020,13.4
"Albania","ALB",2020,6.8
"Algeria","DZA",2020,4.3
"American Samoa","ASM",2020,5.9
"Andorra","AND",2020,7.3
"Angola","AGO",2020,9.2
"Anguilla","AIA",2020,4.6
"Antigua and Barbuda","ATG",2020,5.7
"Argentina","ARG",2020,7.5
"Armenia","ARM",2020,9.4
"Aruba","ABW",2020,8.4
"Australia","AUS",2020,7.3
"Austria","AUT",2020,9.6
"Azerbaijan","AZE",2020,7.1
"Bahamas, The","BHS",2020,7.2
"Bahrain","BHR",2020,2.8
"Bangladesh","BGD",2020,5.4
"Barbados","BRB",2020,8.6
"Belarus","BLR",2020,13.2
"Belgium","BEL",2020,9.7
"Belize","BLZ",2020,6
"Benin","BEN",2020,7.9
"Bermuda","BMU",2020,8.6
"Bhutan","BTN",2020,6.5
"Bolivia","BOL",2020,6.4
"Bosnia and Herzegovina","BIH",2020,10
"Botswana","BWA",2020,9.6
"Brazil","BRA",2020,6.7
"British Virgin Islands","VGB",2020,5.1
"Brunei","BRN",2020,3.6
"Bulgaria","BGR",2020,14.5
"Burkina Faso","BFA",2020,11.2
"Burma","MMR",2020,7.4
"Burundi","BDI",2020,8.8
"Cabo Verde","CPV",2020,6
"Cambodia","KHM",2020,7.5
"Cameroon","CMR",2020,9.6
"Canada","CAN",2020,8.7
"Cayman Islands","CYM",2020,5.8
"Central African Republic","CAF",2020,13.2
"Chad","TCD",2020,13.8
"Chile","CHL",2020,6.2
"China","CHN",2020,7.8
"Colombia","COL",2020,5.5
"Comoros","COM",2020,7.2
"Congo, Democratic Republic of the","COD",2020,9.6
"Congo, Republic of the","COG",2020,9.5
"Cook Islands","COK",2020,8.4
"Costa Rica","CRI",2020,4.7
"Cote d'Ivoire","CIV",2020,9.4
"Croatia","HRV",2020,12.2
"Cuba","CUB",2020,8.7
"Curacao","CUW",2020,8.4
"Cyprus","CYP",2020,6.8
"Czechia","CZE",2020,10.5
"Denmark","DNK",2020,10.3
"Djibouti","DJI",2020,7.5
"Dominica","DMA",2020,7.9
"Dominican Republic","DOM",2020,4.7
"Ecuador","ECU",2020,5.1
"Egypt","EGY",2020,4.6
"El Salvador","SLV",2020,5.8
"Equatorial Guinea","GNQ",2020,7.8
"Eritrea","ERI",2020,7.2
"Estonia","EST",2020,12.6
"Ethiopia","ETH",2020,7.7
"Falkland Islands (Islas Malvinas)","FLK",2020,4.9
"Faroe Islands","FRO",2020,8.8
"Fiji","FJI",2020,6.1
"Finland","FIN",2020,10
"France","FRA",2020,9.3
"French Polynesia","PYF",2020,5.2
"Gabon","GAB",2020,13
"Gambia, The","GMB",2020,7
"Gaza Strip","PSE",2020,3.1
"Georgia","GEO",2020,10.9
"Germany","DEU",2020,11.7
"Ghana","GHA",2020,7
"Gibraltar","GIB",2020,8.5
"Greece","GRC",2020,11.3
"Greenland","GRL",2020,8.7
"Grenada","GRD",2020,8.2
"Guam","GUM",2020,6
"Guatemala","GTM",2020,4.7
"Guernsey","GGY",2020,9
"Guinea","GIN",2020,9
"Guinea-Bissau","GNB",2020,13.9
"Guyana","GUY",2020,7.4
"Haiti","HTI",2020,7.6
"Honduras","HND",2020,5.3
"Hong Kong","HKG",2020,7.4
"Hungary","HUN",2020,12.8
"Iceland","ISL",2020,6.4
"India","IND",2020,7.3
"Indonesia","IDN",2020,6.5
"Iran","IRN",2020,5.3
"Iraq","IRQ",2020,3.8
"Ireland","IRL",2020,6.6
"Isle of Man","IMN",2020,10.2
"Israel","ISR",2020,5.2
"Italy","ITA",2020,10.4
"Jamaica","JAM",2020,6.8
"Japan","JPN",2020,9.8
"Jersey","JEY",2020,7.8
"Jordan","JOR",2020,3.4
"Kazakhstan","KAZ",2020,8.1
"Kenya","KEN",2020,6.7
"Kiribati","KIR",2020,7
"Korea, North","PRK",2020,9.3
"Korea, South","KOR",2020,6
"Kuwait","KWT",2020,2.2
"Kyrgyzstan","KGZ",2020,6.5
"Laos","LAO",2020,7.4
"Latvia","LVA",2020,14.5
"Lebanon","LBN",2020,5
"Lesotho","LSO",2020,15
"Liberia","LBR",2020,7.6
"Libya","LBY",2020,3.6
"Liechtenstein","LIE",2020,7.4
"Lithuania","LTU",2020,14.6
"Luxembourg","LUX",2020,7.3
"Macau","MAC",2020,4.5
"Madagascar","MDG",2020,6.5
"Malawi","MWI",2020,7.9
"Malaysia","MYS",2020,5.1
"Maldives","MDV",2020,4
"Mali","MLI",2020,9.8
"Malta","MLT",2020,9.4
"Marshall Islands","MHL",2020,4.2
"Mauritania","MRT",2020,7.9
"Mauritius","MUS",2020,7.1
"Mexico","MEX",2020,5.3
"Micronesia, Federated States of","FSM",2020,4.2
"Moldova","MDA",2020,12.6
"Monaco","MCO",2020,9.8
"Mongolia","MNG",2020,6.3
"Montenegro","MNE",2020,9.7
"Montserrat","MSR",2020,6.2
"Morocco","MAR",2020,4.9
"Mozambique","MOZ",2020,11.6
"Namibia","NAM",2020,7.9
"Nauru","NRU",2020,5.9
"Nepal","NPL",2020,5.6
"Netherlands","NLD",2020,8.9
"New Caledonia","NCL",2020,5.7
"New Zealand","NZL",2020,7.5
"Nicaragua","NIC",2020,5.1
"Niger","NER",2020,11.8
"Nigeria","NGA",2020,12.4
"Northern Mariana Islands","MNP",2020,4.8
"Norway","NOR",2020,8.1
"Oman","OMN",2020,3.3
"Pakistan","PAK",2020,6.3
"Palau","PLW",2020,8.1
"Panama","PAN",2020,4.9
"Papua New Guinea","PNG",2020,6.6
"Paraguay","PRY",2020,4.8
"Peru","PER",2020,6.1
"Philippines","PHL",2020,6.1
"Poland","POL",2020,10.4
"Portugal","PRT",2020,11.1
"Puerto Rico","PRI",2020,8.6
"Qatar","QAT",2020,1.5
"Romania","ROU",2020,12
"Russia","RUS",2020,13.5
"Rwanda","RWA",2020,6.4
"Saint Helena, Ascension, and Tristan da Cunha","SHN",2020,7.8
"Saint Kitts and Nevis","KNA",2020,7.1
"Saint Lucia","LCA",2020,7.7
"Saint Pierre and Miquelon","SPM",2020,9.9
"Saint Vincent and the Grenadines","VCT",2020,7.3
"Samoa","WSM",2020,5.3
"San Marino","SMR",2020,8.7
"Sao Tome and Principe","STP",2020,6.8
"Saudi Arabia","SAU",2020,3.4
"Senegal","SEN",2020,8.1
"Serbia","SRB",2020,13.6
"Seychelles","SYC",2020,7
"Sierra Leone","SLE",2020,10.4
"Singapore","SGP",2020,3.5
"Sint Maarten","SXM",2020,5.2
"Slovakia","SVK",2020,9.9
"Slovenia","SVN",2020,11.6
"Solomon Islands","SLB",2020,3.8
"Somalia","SOM",2020,13.1
"South Africa","ZAF",2020,9.4
"South Sudan","SSD",2020,7.7
"Spain","ESP",2020,9.1
"Sri Lanka","LKA",2020,6.2
"Sudan","SDN",2020,7.3
"Suriname","SUR",2020,6.1
"Sweden","SWE",2020,9.4
"Switzerland","CHE",2020,8.3
"Syria","SYR",2020,4
"Taiwan","TWN",2020,7.4
"Tajikistan","TJK",2020,6
"Tanzania","TZA",2020,7.6
"Thailand","THA",2020,8
"Timor-Leste","TLS",2020,5.9
"Togo","TGO",2020,6.9
"Tonga","TON",2020,4.9
"Trinidad and Tobago","TTO",2020,8.8
"Tunisia","TUN",2020,6.3
"Turkey","TUR",2020,6
"Turkmenistan","TKM",2020,6.1
"Turks and Caicos Islands","TCA",2020,3.2
"Tuvalu","TUV",2020,8.5
"Uganda","UGA",2020,10.2
"Ukraine","UKR",2020,14.4
"United Arab Emirates","ARE",2020,1.9
"United Kingdom","GBR",2020,9.4
"United States","USA",2020,8.2
"Uruguay","URY",2020,9.4
"Uzbekistan","UZB",2020,5.3
"Vanuatu","VUT",2020,4
"Venezuela","VEN",2020,5.3
"Vietnam","VNM",2020,5.9
"Virgin Islands","VIR",2020,7.8
"Wallis and Futuna","WLF",2020,5.4
"West Bank","PSE",2020,3.5
"Western Sahara","ESH",2020,8.1
"Yemen","YEM",2020,6
"Zambia","ZMB",2020,12.2
"Zimbabwe","ZWE",2020,10.2
