"country","countryiso3","hivdeaths.2157_2020"
"Nigeria","NGA",160000
"South Africa","ZAF",110000
"India","IND",62000
"Mozambique","MOZ",62000
"Indonesia","IDN",38000
"Kenya","KEN",36000
"Tanzania","TZA",33000
"Zimbabwe","ZWE",30000
"Cameroon","CMR",29000
"Uganda","UGA",28000
"Cote d'Ivoire","CIV",25000
"Malawi","MWI",24000
"Zambia","ZMB",21000
"Ethiopia","ETH",20000
"Congo, Democratic Republic of the","COD",19000
"Thailand","THA",16000
"Ghana","GHA",15000
"Brazil","BRA",14000
"South Sudan","SSD",13000
"Angola","AGO",11000
"Lesotho","LSO",9900
"Ukraine","UKR",8500
"Vietnam","VNM",8000
"Burma","MMR",7800
"Central African Republic","CAF",7300
"Malaysia","MYS",7000
"Mali","MLI",6100
"Guinea","GIN",5800
"Pakistan","PAK",5500
"Togo","TGO",5100
"Haiti","HTI",4600
"Namibia","NAM",4300
"Mexico","MEX",4200
"Iran","IRN",4000
"Botswana","BWA",3900
"Congo, Republic of the","COG",3800
"Niger","NER",3400
"Rwanda","RWA",3300
"Burkina Faso","BFA",3100
"Sudan","SDN",3000
"Burundi","BDI",2900
"Chad","TCD",2800
"Colombia","COL",2800
"Liberia","LBR",2800
"Sierra Leone","SLE",2800
"Venezuela","VEN",2500
"Argentina","ARG",2400
"Benin","BEN",2400
"Dominican Republic","DOM",2200
"Peru","PER",2200
"Guinea-Bissau","GNB",2000
"Senegal","SEN",1900
"Cambodia","KHM",1800
"Somalia","SOM",1700
"Nepal","NPL",1700
"Guatemala","GTM",1600
"Madagascar","MDG",1600
"Gabon","GAB",1500
"Jamaica","JAM",1300
"Gambia, The","GMB",1100
"Papua New Guinea","PNG",1100
"Bangladesh","BGD",1000
