"country","countryiso3","latest.year_hivrateadult.2155","latest.value_hivrateadult.2155"
"Albania","ALB",2020,0.1
"Angola","AGO",2020,1.9
"Argentina","ARG",2020,0.4
"Armenia","ARM",2020,0.2
"Australia","AUS",2020,0.1
"Azerbaijan","AZE",2020,0.1
"Bahamas, The","BHS",2020,3.3
"Barbados","BRB",2020,1.3
"Belarus","BLR",2020,0.4
"Belize","BLZ",2020,1.8
"Benin","BEN",2020,1
"Bolivia","BOL",2020,0.3
"Botswana","BWA",2020,21.9
"Brazil","BRA",2020,0.6
"Burkina Faso","BFA",2020,0.8
"Burma","MMR",2020,0.8
"Burundi","BDI",2020,1.1
"Cabo Verde","CPV",2020,0.8
"Cambodia","KHM",2020,0.6
"Cameroon","CMR",2020,3.8
"Central African Republic","CAF",2020,4
"Chad","TCD",2020,1.3
"Chile","CHL",2020,0.5
"Colombia","COL",2020,0.4
"Congo, Democratic Republic of the","COD",2020,0.7
"Congo, Republic of the","COG",2020,3.1
"Costa Rica","CRI",2020,0.4
"Cote d'Ivoire","CIV",2020,2.7
"Cuba","CUB",2020,0.4
"Djibouti","DJI",2020,1.3
"Dominican Republic","DOM",2020,1
"Ecuador","ECU",2020,0.3
"El Salvador","SLV",2020,0.6
"Equatorial Guinea","GNQ",2020,6.2
"Eritrea","ERI",2020,0.6
"Ethiopia","ETH",2020,1.1
"Fiji","FJI",2020,0.1
"France","FRA",2020,0.4
"Gabon","GAB",2020,3.6
"Gambia, The","GMB",2020,1.7
"Georgia","GEO",2020,0.5
"Ghana","GHA",2020,1.6
"Guatemala","GTM",2020,0.5
"Guinea","GIN",2020,1.5
"Guinea-Bissau","GNB",2020,3.1
"Guyana","GUY",2020,1.6
"Haiti","HTI",2020,2.1
"Honduras","HND",2020,0.4
"India","IND",2020,0.3
"Indonesia","IDN",2020,0.4
"Iran","IRN",2020,0.1
"Ireland","IRL",2020,0.2
"Italy","ITA",2020,0.3
"Jamaica","JAM",2020,1.7
"Kazakhstan","KAZ",2020,0.2
"Kenya","KEN",2020,5.4
"Kyrgyzstan","KGZ",2020,0.2
"Laos","LAO",2020,0.3
"Latvia","LVA",2020,0.7
"Lesotho","LSO",2020,25
"Liberia","LBR",2020,1.6
"Lithuania","LTU",2020,0.2
"Madagascar","MDG",2020,0.2
"Malawi","MWI",2020,9.2
"Malaysia","MYS",2020,0.4
"Mali","MLI",2020,1
"Malta","MLT",2020,0.1
"Mauritania","MRT",2020,0.5
"Mexico","MEX",2020,0.3
"Moldova","MDA",2020,0.6
"Montenegro","MNE",2020,0.1
"Morocco","MAR",2020,0.1
"Mozambique","MOZ",2020,12.3
"Namibia","NAM",2020,13.8
"Nepal","NPL",2020,0.2
"Netherlands","NLD",2020,0.2
"Nicaragua","NIC",2020,0.2
"Niger","NER",2020,0.4
"Nigeria","NGA",2020,2.9
"Pakistan","PAK",2020,0.1
"Panama","PAN",2020,0.8
"Papua New Guinea","PNG",2020,0.9
"Paraguay","PRY",2020,0.5
"Peru","PER",2020,0.3
"Philippines","PHL",2020,0.1
"Romania","ROU",2020,0.1
"Rwanda","RWA",2020,3.1
"Senegal","SEN",2020,0.4
"Sierra Leone","SLE",2020,1.7
"Somalia","SOM",2020,0.4
"South Africa","ZAF",2020,18.9
"South Sudan","SSD",2020,2.7
"Spain","ESP",2020,0.4
"Sudan","SDN",2020,0.2
"Suriname","SUR",2020,1.4
"Sweden","SWE",2020,0.2
"Tajikistan","TJK",2020,0.3
"Tanzania","TZA",2020,4.7
"Thailand","THA",2020,1.1
"Togo","TGO",2020,2.1
"Trinidad and Tobago","TTO",2020,1.2
"Uganda","UGA",2020,6.5
"Ukraine","UKR",2020,0.9
"Uruguay","URY",2020,0.6
"Venezuela","VEN",2020,0.6
"Vietnam","VNM",2020,0.4
"Zambia","ZMB",2020,12.4
"Zimbabwe","ZWE",2020,13.5
