"country","countryiso3","latest.year_hivrateall.2156","latest.value_hivrateall.2156"
"Afghanistan","AFG",2020,7500
"Albania","ALB",2020,1700
"Algeria","DZA",2020,13000
"Angola","AGO",2020,280000
"Argentina","ARG",2020,120000
"Armenia","ARM",2020,3300
"Australia","AUS",2020,25000
"Azerbaijan","AZE",2020,9200
"Bahamas, The","BHS",2020,8200
"Bangladesh","BGD",2020,12000
"Barbados","BRB",2020,2600
"Belarus","BLR",2020,19000
"Belize","BLZ",2020,4300
"Benin","BEN",2020,67000
"Bolivia","BOL",2020,19000
"Botswana","BWA",2020,360000
"Brazil","BRA",2020,830000
"Bulgaria","BGR",2020,3500
"Burkina Faso","BFA",2020,95000
"Burma","MMR",2020,230000
"Burundi","BDI",2020,84000
"Cabo Verde","CPV",2020,2800
"Cambodia","KHM",2020,71000
"Cameroon","CMR",2020,560000
"Central African Republic","CAF",2020,130000
"Chad","TCD",2020,110000
"Chile","CHL",2020,61000
"Colombia","COL",2020,120000
"Congo, Democratic Republic of the","COD",2020,370000
"Congo, Republic of the","COG",2020,91000
"Costa Rica","CRI",2020,13000
"Cote d'Ivoire","CIV",2020,460000
"Croatia","HRV",2020,1500
"Cuba","CUB",2020,25000
"Czechia","CZE",2020,3400
"Djibouti","DJI",2020,8600
"Dominican Republic","DOM",2020,67000
"Ecuador","ECU",2020,33000
"Egypt","EGY",2020,11000
"El Salvador","SLV",2020,24000
"Equatorial Guinea","GNQ",2020,35000
"Eritrea","ERI",2020,15000
"Ethiopia","ETH",2020,710000
"France","FRA",2020,180000
"Gabon","GAB",2020,48000
"Gambia, The","GMB",2020,20000
"Georgia","GEO",2020,12000
"Ghana","GHA",2020,290000
"Guatemala","GTM",2020,46000
"Guinea","GIN",2020,120000
"Guinea-Bissau","GNB",2020,36000
"Guyana","GUY",2020,8500
"Haiti","HTI",2020,150000
"Honduras","HND",2020,21000
"India","IND",2020,2100000
"Indonesia","IDN",2020,620000
"Iran","IRN",2020,66000
"Ireland","IRL",2020,6200
"Italy","ITA",2020,130000
"Jamaica","JAM",2020,30000
"Kazakhstan","KAZ",2020,26000
"Kenya","KEN",2020,1600000
"Kyrgyzstan","KGZ",2020,8500
"Laos","LAO",2020,11000
"Latvia","LVA",2020,6600
"Lebanon","LBN",2020,2200
"Lesotho","LSO",2020,330000
"Liberia","LBR",2020,43000
"Lithuania","LTU",2020,2900
"Madagascar","MDG",2020,31000
"Malawi","MWI",2020,1000000
"Malaysia","MYS",2020,97000
"Mali","MLI",2020,110000
"Mauritania","MRT",2020,11000
"Mexico","MEX",2020,220000
"Moldova","MDA",2020,15000
"Morocco","MAR",2020,22000
"Mozambique","MOZ",2020,1800000
"Namibia","NAM",2020,230000
"Nepal","NPL",2020,32000
"Netherlands","NLD",2020,23000
"Nicaragua","NIC",2020,8900
"Niger","NER",2020,48000
"Nigeria","NGA",2020,3200000
"Pakistan","PAK",2020,130000
"Panama","PAN",2020,21000
"Papua New Guinea","PNG",2020,46000
"Paraguay","PRY",2020,19000
"Peru","PER",2020,70000
"Philippines","PHL",2020,56000
"Romania","ROU",2020,16000
"Rwanda","RWA",2020,220000
"Saudi Arabia","SAU",2020,8200
"Senegal","SEN",2020,41000
"Serbia","SRB",2020,2700
"Sierra Leone","SLE",2020,67000
"Somalia","SOM",2020,24000
"South Africa","ZAF",2020,7100000
"South Sudan","SSD",2020,200000
"Spain","ESP",2020,140000
"Sri Lanka","LKA",2020,4000
"Sudan","SDN",2020,56000
"Suriname","SUR",2020,4900
"Sweden","SWE",2020,11000
"Tajikistan","TJK",2020,14000
"Tanzania","TZA",2020,1400000
"Thailand","THA",2020,450000
"Togo","TGO",2020,100000
"Trinidad and Tobago","TTO",2020,11000
"Tunisia","TUN",2020,2900
"Uganda","UGA",2020,1400000
"Ukraine","UKR",2020,240000
"Uruguay","URY",2020,12000
"Venezuela","VEN",2020,120000
"Vietnam","VNM",2020,250000
"Yemen","YEM",2020,9900
"Zambia","ZMB",2020,1200000
"Zimbabwe","ZWE",2020,1300000
